level,canonical_key,your_aliases,closest_csv_name_en,closest_csv_name_np,closest_csv_code,closest_csv_district,score
gaunpalika,binayi_tribeni,Binayi Tribeni Gaunpalika | बिनयी त्रिवेणी  गाउँपालिका | Binayi Tribeni | बिनयी त्रिवेणी,Binayee Tribeni,विनयी त्रिवेणी गाउँपालिका,47601,Nawalparasi_E,89.7
gaunpalika,mugumakarmarog,Mugumakarmarog Gaunpalika | मुगुमकार्मारोग  गाउँपालिका | Mugumakarmarog | मुगुमकार्मारोग,Mugum Karmarong,मुगुम कार्मारोंग गाउँपालिका,66503,Mugu,89.7
gaunpalika,indrawoti,Indrawoti Gaunpalika | ईन्द्रावती  गाउँपालिका | Indrawoti | ईन्द्रावती,Indrawati,ईन्द्रावती गाउँपालिका,32306,Sindhupalchok,88.9
gaunpalika,khumbu_pasang_lhamu,Khumbu Pasang Lhamu Gaunpalika | खुम्बु पासाङल्हामु गाउँपालिका | Khumbu Pasang Lhamu | खुम्बु पासाङल्हामु,Khumbupasanglahmu,खुम्वु पासाङल्हमु गाउँपालिका,11103,Solukhumbu,88.9
gaunpalika,dewangunj,Dewangunj Gaunpalika | देवानगन्ज  गाउँपालिका | Dewangunj | देवानगन्ज,Dewanganj,देवानगञ्ज गाउँपालिका,10604,Sunsari,88.9
gaunpalika,arjunchaupari,Arjun Choupari Gaunpalika | अर्जुनचौपारी  गाउँपालिका | Arjunchaupari Gaunpalika | Arjun Choupari | अर्जुनचौपारी | Arjunchaupari,Arjunchaupari,अर्जुनचौपारी गाउँपालिका,43902,Syangja,88.9
municipality,tilottama,Tilottama Municipality | तिलोत्तमा नगरपालिका | Tilottama | तिलोत्तमा,Tillotama,तिलोत्तमा नगरपालिका,54916,Rupandehi,88.9
municipality,bahrabise,Bahrabise Municipality | बाह्रबिसे नगरपालिका | Bahrabise | बाह्रबिसे,Barhabise,बाह्रविसे नगरपालिका,32302,Sindhupalchok,88.9
gaunpalika,yamunamai,Yamunamai Gaunpalika | यमुनामाई  गाउँपालिका | Yamunamai | यमुनामाई,Yemunamai,यमुनामाई गाउँपालिका,23218,Rautahat,88.9
municipality,ilam,Ilam Municipality | ईलाम नगरपालिका | Illam Municipality | Ilam | ईलाम | Illam,Illam,ईलाम नगरपालिका,10304,Ilam,88.9
municipality,boudhimai,Boudhimai Municipality | बौधीमाई नगरपालिका | Boudhimai | बौधीमाई,Baudhimai,बौधीमाई नगरपालिका,23201,Rautahat,88.9
sub_metropolitan_city,nepalganj,Nepalganj Sub-Metropolitian City | नेपालगञ्ज उपमहानगरपालिका | Nepalganj | नेपालगञ्ज,Nepalgunj,नेपालगंज उपमहानगरपालिका,55707,Banke,88.9
gaunpalika,shivalaya,Shivalaya Gaunpalika | शिवालय  गाउँपालिका | Shivalaya | शिवालय,Shiwalaya,शिवालय गाउँपालिका,66106,Jajarkot,88.9
municipality,puchaundi,Puchaundi Municipality | पुचौंडी नगरपालिका | Purchaundi Municipality | Puchaundi | पुचौंडी | Purchaundi,Purchaudi,पुर्चौडी नगरपालिका,77407,Baitadi,88.9
municipality,shitaganga,Shitaganga Municipality | शितगंगा नगरपालिका | Shitaganga | शितगंगा,Sitganga,शितगंगा नगरपालिका,55106,Arghakhanchi,88.9
gaunpalika,yangbarak,Yangbarak Gaunpalika | याङवरक  गाउँपालिका | Yangwarak Gaunpalika | Yangbarak | याङवरक | Yangwarak,Yangwarak,याङवरक गाउँपालिका,10109,Taplejung,88.9
municipality,manarashisawa,Manara Shisawa Municipality | मनरा शिसवा नगरपालिका | Manarashisawa Municipality | Manara Shisawa | मनरा शिसवा | Manarashisawa,Manra Siswa,मनरा शिसवा नगरपालिका,21810,Mahottari,88.0
gaunpalika,janak_nandini,Janak Nandini Gaunpalika | जनक नन्दिनी  गाउँपालिका | Janak Nandini | जनक नन्दिनी,Janaknandani,जनकनन्दिनी गाउँपालिका,21709,Dhanusha,88.0
metropolitan_city,pokhara,Pokhara Metropolitian City | पोखरा महानगरपालिका | Pokhara | पोखरा,Pokhariya,पोखरिया नगरपालिका,23412,Parsa,87.5
gaunpalika,mahadewa,Mahadewa Gaunpalika | महादेवा  गाउँपालिका | Mahadewa | महादेवा,Mahadeva,महादेवा गाउँपालिका,21511,Saptari,87.5
municipality,melanchi,Melanchi Municipality | मेलम्ची नगरपालिका | Melanchi | मेलम्ची,Melamchi,मेलम्ची नगरपालिका,32309,Sindhupalchok,87.5
municipality,jayaprithbi,Jayaprithbi Municipality | जयपृथ्वी नगरपालिका | Jayaprithbi | जयपृथ्वी,JayaPrithivi,जयपृथ्वी नगरपालिका,76805,Bajhang,87.0
gaunpalika,gulmi_durbar,Gulmi Durbar Gaunpalika | गुल्मी दरबार  गाउँपालिका | Gulmi Durbar | गुल्मी दरबार,Gulmidarbar,गुल्मी दरबार गाउँपालिका,54604,Gulmi,87.0
gaunpalika,dhawalagiri,Dhawalagiri Gaunpalika | धवलागिरी  गाउँपालिका | Dhawalagiri | धवलागिरी,Dhaulagiri,धवलागिरी गाउँपालिका,44303,Myagdi,85.7
gaunpalika,ekadara,Ekadara Gaunpalika | एकडारा  गाउँपालिका | Ekadara | एकडारा,Ekdanra,एकडारा गाउँपालिका,21805,Mahottari,85.7
gaunpalika,subarna,Subarna Gaunpalika | सुवर्ण  गाउँपालिका | Suwarna Gaunpalika | Subarna | सुवर्ण | Suwarna,Suwarna,सुवर्ण गाउँपालिका,23316,Bara,85.7
gaunpalika,menchhayayem,Menchhayayem Gaunpalika | मेन्छयायेम  गाउँपालिका | Menchhayayem | मेन्छयायेम,Menchayam,मेन्छयायेम गाउँपालिका,10804,Terhathum,85.7
municipality,belouri,Belouri Municipality | बेलौरी नगरपालिका | Belouri | बेलौरी,Belauri,बेलौरी नगरपालिका,77202,Kanchanpur,85.7
municipality,diktel_rupakot_majhuwagadhi,Diktel Rupakot Majhuwagadhi Municipality | दिक्तेल रुपाकोट मझुवागढी नगरपालिका | Diktel Rupakot Majhuwagadhi | दिक्तेल रुपाकोट मझुवागढी,Rupakot Majhuwagadhi,रुपाकोट मझुवागढी नगरपालिका,11309,Khotang,85.1
gaunpalika,aanbookhaireni,Aanbookhaireni Gaunpalika | आँबुखैरेनी गाउँपालिका | Aanbu Khaireni Gaunpalika | Aanbookhaireni | आँबुखैरेनी | Aanbu Khaireni,Anbukhaireni,आँबुखैरेनी गाउँपालिका,43801,Tanahu,84.6
gaunpalika,baudikali,Baudikali Gaunpalika | बौदीकाली गाउँपालिका | Baudikali | बौदीकाली,Bungdikali,बुङ्दीकाली गाउँपालिका,47603,Nawalparasi_E,84.2
municipality,nalgad,Nalgad Municipality | नलगाड नगरपालिका | Nalgad | नलगाड,Naugad,नौगाड गाउँपालिका,77508,Darchula,83.3
gaunpalika,nason,Nason Gaunpalika | नासोँ गाउँपालिका | Nason | नासोँ,Nashong,नाशोङ गाउँपालिका,44103,Manang,83.3
gaunpalika,phakphokathum,Phakphokathum Gaunpalika | फाकफोकथुम गाउँपालिका | Phakphokathum | फाकफोकथुम,Fakphokthum,फाकफोकथुम गाउँपालिका,10303,Ilam,83.3
municipality,shivasatakshi,Shivasatakshi Municipality | शिवसताक्षी नगरपालिका | Shivasatakshi | शिवसताक्षी,Shivasataxi,शिवशताक्षी नगरपालिका,10415,Jhapa,83.3
municipality,bagachour,Bagachour Municipality | बागचौर नगरपालिका | Bagachour | बागचौर,Bagchaur,बागचौर नगरपालिका,65501,Salyan,82.4
gaunpalika,kedarsyun,Kedarsyun Gaunpalika | केदारस्युँ  गाउँपालिका | Kedarsyun | केदारस्युँ,Kedarseu,केदारस्युँ गाउँपालिका,76807,Bajhang,82.4
gaunpalika,banphikot,Banphikot Gaunpalika | बाँफिकोट  गाउँपालिका | Banphikot | बाँफिकोट,Banfikot,बाँफिकोट गाउँपालिका,65402,Rukum_W,82.4
gaunpalika,phalelung,Phalelung Gaunpalika | फालेलुङ्ग  गाउँपालिका | Phalelung | फालेलुङ्ग,Falelung,फालेलुंग गाउँपालिका,10201,Panchthar,82.4
municipality,tilagupha,Tilagupha Municipality | तिलागुफा नगरपालिका | Tilagupha | तिलागुफा,Tilagufa,तिलागुफा नगरपालिका,66409,Kalikot,82.4
gaunpalika,fakfokathum,Fakfokathum Gaunpalika | फाकफोकथुम  गाउँपालिका | Fakfokathum | फाकफोकथुम,Fakphokthum,फाकफोकथुम गाउँपालिका,10303,Ilam,81.8
municipality,swargadwari,Swargadwari Municipality | स्वर्गद्धारी नगरपालिका | Sworgadwari Municipality | Swargadwari | स्वर्गद्धारी | Sworgadwari,Sworgadwary,स्वर्गद्वारी नगरपालिका,55209,Pyuthan,81.8
gaunpalika,laxminiya,Laxminiya Gaunpalika | लक्ष्मीनिया  गाउँपालिका | Laxminiya | लक्ष्मीनिया,Lakshminiya,लक्ष्मीनिया गाउँपालिका,21712,Dhanusha,80.0
sub_metropolitan_city,janakpurdham,Janakpurdham Sub-Metropolitian City | जनकपुर उपमहानगरपालिका | Janakpurdham | जनकपुर,Janakpur,जनकपुर उपमहानगरपालिका,21710,Dhanusha,80.0
gaunpalika,duhun,Duhun Gaunpalika | दुहुँ  गाउँपालिका | Duhun | दुहुँ,Dunhu,दुहुँ गाउँपालिका,77503,Darchula,80.0
gaunpalika,aadarsh,Aadarsh Gaunpalika | आदर्श  गाउँपालिका | Aadarsha Gaunpalika | Aadarsh | आदर्श | Aadarsha,Adharsha,आदर्श गाउँपालिका,77001,Doti,80.0
municipality,bheerkot,Bheerkot Municipality | भीरकोट नगरपालिका | Bheerkot | भीरकोट,Bhirkot,भीरकोट नगरपालिका,43903,Syangja,80.0
gaunpalika,varagung_muktichhetra,Varagung Muktichhetra Gaunpalika | वारागुङ मुक्तिक्षेत्र गाउँपालिका | Varagung Muktichhetra | वारागुङ मुक्तिक्षेत्र,Barhagaun Muktikhsetra,वाह्रगाउँ मुक्तिक्षेत्र गाउँपालिका,44201,Mustang,79.1
gaunpalika,chhabispathibhera,Chhabis Pathibhara Gaunpalika | छबिस पाथिभरा  गाउँपालिका | Chhabispathibhera Gaunpalika | Chhabis Pathibhara | छबिस पाथिभरा | Chhabispathibhera,Chabispathivera,छबिसपाथिभेरा गाउँपालिका,76803,Bajhang,78.8
gaunpalika,airawati,Aairawati Gaunpalika | ऐरावती  गाउँपालिका | Airawati Gaunpalika | Aairawati | ऐरावती | Airawati,Indrawati,ईन्द्रावती गाउँपालिका,32306,Sindhupalchok,77.8
gaunpalika,swami_kartik_khapar,Swami Kartik Khapar Gaunpalika | स्वामीकार्तिक खापर गाउँपालिका | Swami Kartik Khapar | स्वामीकार्तिक खापर,Swami Kartik,स्वामीकार्तिक गाउँपालिका,76708,Bajura,77.4
gaunpalika,balephi,Balephi Gaunpalika | बलेफी  गाउँपालिका | Balephi | बलेफी,Balefi,बलेफी गाउँपालिका,32301,Sindhupalchok,76.9
gaunpalika,jagannath,Jagannath Gaunpalika | जगन्‍नाथ गाउँपालिका | Jagannath | जगन्‍नाथ,Jagarnathpur,जगरनाथपुर गाउँपालिका,23406,Parsa,76.2
municipality,nilkhantha,Neelkhantha Municipality | नीलकण्ठ नगरपालिका | Nilkhantha Municipality | Neelkhantha | नीलकण्ठ | Nilkhantha,Nilakantha,निलकण्ठ नगरपालिका,33009,Dhading,76.2
